op_id	desc	proc	level
141	final_ranks [primary] <141>	CPU Processor 0x1d00000000000008	2
142	final_ranks [primary] <142>	CPU Processor 0x1d00000000000007	2
143	final_ranks [primary] <143>	CPU Processor 0x1d00000000000003	2
144	Fill Operation <144>		
145	Fill Operation <145>		
146	Copy Operation <146>		
147	__unary_bool_not [primary] <147>	CPU Processor 0x1d00000000000001	3
148	Merge Close Operation <148>		
149	Merge Close Operation <149>		
150	__binary_int32_int32_+ [primary] <150>	CPU Processor 0x1d00000000000001	3
151	update_ranks <151>		
152	final_ranks <152>		
153	__binary_int32_uint32_>= [primary] <153>	CPU Processor 0x1d00000000000001	3
154	Merge Close Operation <154>		
155	update_ranks <155>		
156	update_ranks <156>		
157	update_ranks <157>		
158	update_ranks <158>		
159	update_ranks <159>		
160	update_ranks <160>		
161	update_ranks <161>		
162	update_ranks <162>		
163	update_ranks [primary] <163>	CPU Processor 0x1d00000000000007	2
164	l2_norm [primary] <164>	CPU Processor 0x1d00000000000002	2
165	__binary_double_double_< [primary] <165>	CPU Processor 0x1d00000000000002	2
166	Merge Close Operation <166>		
167	update_ranks [primary] <167>	CPU Processor 0x1d00000000000001	3
168	update_ranks [primary] <168>	CPU Processor 0x1d00000000000002	2
169	update_ranks [primary] <169>	CPU Processor 0x1d00000000000008	2
170	update_ranks [primary] <170>	CPU Processor 0x1d00000000000005	2
171	update_ranks [primary] <171>	CPU Processor 0x1d00000000000006	2
172	update_ranks [primary] <172>	CPU Processor 0x1d00000000000003	2
173	update_ranks [primary] <173>	CPU Processor 0x1d00000000000004	2
174	final_ranks <174>		
175	final_ranks <175>		
176	final_ranks <176>		
177	final_ranks <177>		
178	final_ranks <178>		
179	final_ranks <179>		
180	final_ranks <180>		
181	final_ranks <181>		
182	final_ranks [primary] <182>	CPU Processor 0x1d00000000000002	2
183	final_ranks [primary] <183>	CPU Processor 0x1d00000000000004	2
184	final_ranks [primary] <184>	CPU Processor 0x1d00000000000001	3
185	final_ranks [primary] <185>	CPU Processor 0x1d00000000000005	2
186	final_ranks [primary] <186>	CPU Processor 0x1d00000000000006	2
187	final_ranks [primary] <187>	CPU Processor 0x1d00000000000007	2
188	final_ranks [primary] <188>	CPU Processor 0x1d00000000000008	2
189	final_ranks [primary] <189>	CPU Processor 0x1d00000000000003	2
190	Fill Operation <190>		
191	Fill Operation <191>		
192	Copy Operation <192>		
193	__unary_bool_not [primary] <193>	CPU Processor 0x1d00000000000001	3
194	Merge Close Operation <194>		
195	Merge Close Operation <195>		
196	__binary_int32_int32_+ [primary] <196>	CPU Processor 0x1d00000000000001	3
197	update_ranks <197>		
198	final_ranks <198>		
199	__binary_int32_uint32_>= [primary] <199>	CPU Processor 0x1d00000000000001	3
200	Merge Close Operation <200>		
201	update_ranks <201>		
202	update_ranks <202>		
203	update_ranks <203>		
204	update_ranks <204>		
205	update_ranks <205>		
206	update_ranks <206>		
207	update_ranks <207>		
208	update_ranks <208>		
209	l2_norm [primary] <209>	CPU Processor 0x1d00000000000001	3
210	__binary_double_double_< [primary] <210>	CPU Processor 0x1d00000000000002	2
211	Merge Close Operation <211>		
212	update_ranks [primary] <212>	CPU Processor 0x1d00000000000007	2
213	update_ranks [primary] <213>	CPU Processor 0x1d00000000000008	2
214	update_ranks [primary] <214>	CPU Processor 0x1d00000000000005	2
215	update_ranks [primary] <215>	CPU Processor 0x1d00000000000001	3
216	update_ranks [primary] <216>	CPU Processor 0x1d00000000000004	2
217	update_ranks [primary] <217>	CPU Processor 0x1d00000000000002	2
218	update_ranks [primary] <218>	CPU Processor 0x1d00000000000003	2
219	update_ranks [primary] <219>	CPU Processor 0x1d00000000000006	2
220	final_ranks <220>		
221	final_ranks <221>		
222	final_ranks <222>		
223	final_ranks <223>		
224	final_ranks <224>		
225	final_ranks <225>		
226	final_ranks <226>		
227	final_ranks <227>		
228	final_ranks [primary] <228>	CPU Processor 0x1d00000000000002	2
229	final_ranks [primary] <229>	CPU Processor 0x1d00000000000006	2
230	final_ranks [primary] <230>	CPU Processor 0x1d00000000000003	2
231	final_ranks [primary] <231>	CPU Processor 0x1d00000000000001	3
232	final_ranks [primary] <232>	CPU Processor 0x1d00000000000004	2
233	final_ranks [primary] <233>	CPU Processor 0x1d00000000000005	2
234	final_ranks [primary] <234>	CPU Processor 0x1d00000000000008	2
235	final_ranks [primary] <235>	CPU Processor 0x1d00000000000007	2
236	Fill Operation <236>		
237	Fill Operation <237>		
238	Copy Operation <238>		
239	__unary_bool_not [primary] <239>	CPU Processor 0x1d00000000000001	3
240	Merge Close Operation <240>		
241	Merge Close Operation <241>		
242	__binary_int32_int32_+ [primary] <242>	CPU Processor 0x1d00000000000001	3
243	update_ranks <243>		
244	final_ranks <244>		
245	__binary_int32_uint32_>= [primary] <245>	CPU Processor 0x1d00000000000001	3
246	Merge Close Operation <246>		
247	update_ranks <247>		
248	update_ranks <248>		
249	update_ranks <249>		
250	update_ranks <250>		
251	update_ranks <251>		
252	update_ranks <252>		
253	update_ranks <253>		
254	update_ranks <254>		
255	l2_norm [primary] <255>	CPU Processor 0x1d00000000000007	2
256	update_ranks [primary] <256>	CPU Processor 0x1d00000000000008	2
257	__binary_double_double_< [primary] <257>	CPU Processor 0x1d00000000000008	2
258	Merge Close Operation <258>		
259	update_ranks [primary] <259>	CPU Processor 0x1d00000000000007	2
260	update_ranks [primary] <260>	CPU Processor 0x1d00000000000002	2
261	update_ranks [primary] <261>	CPU Processor 0x1d00000000000001	3
262	update_ranks [primary] <262>	CPU Processor 0x1d00000000000005	2
