level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
7	11	27672.272	27722.938	27917.28	#ff0008	1.0	Deferred Enqueue Task	1					108
7	10	27915.889	27945.721	28013.442	#fdff00	1.0	Scheduler	0					110
7	11	28010.49	28025.716	28331.14	#cdff00	1.0	Task Physical Dependence Analysis	1					9062
7	11	29364.877	29379.457	29407.203	#0069ff	1.0	Logical Dependence Analysis	3					9063
7	10	29406.052	29417.444	29445.809	#333399	1.0	Deferred Ready Trigger	3					9064
7	11	29445.551	29460.126	29595.744	#00ff63	1.0	Operation Physical Dependence Analysis	3					9065
7	11	29573.719	29606.662	29612.34	#ff9b00	1.0	Tighten Index Space	3					9066
7	11	29573.919	29623.397	29624.249	#ff9b00	1.0	Tighten Index Space	3					10292
7	11	29574.072	29634.491	29635.291	#ff9b00	1.0	Tighten Index Space	3					9067
7	11	29574.268	29642.946	29643.333	#ff9b00	1.0	Tighten Index Space	3					10575
7	10	29453.753	29649.147	29904.875	#0069ff	1.0	Logical Dependence Analysis	4					111
7	10	29651.749	29918.79	29921.469	#333399	1.0	Deferred Ready Trigger	4					112
7	10	29843.022	29932.721	29937.999	#333399	1.0	Deferred Ready Trigger	5					113
7	8	29937.638	29949.161	29959.184	#fdff00	1.0	Scheduler	0					9068
7	11	29917.9	29970.532	29994.243	#0069ff	1.0	Logical Dependence Analysis	8					114
7	9	29921.204	30023.223	30062.464	#00ff63	1.0	Operation Physical Dependence Analysis	4					115
7	11	30060.918	30073.301	30074.296	#ff9b00	1.0	Tighten Index Space	4					10576
7	11	30061.073	30084.126	30084.888	#ff9b00	1.0	Tighten Index Space	4					116
7	11	30061.17	30096.455	30097.092	#ff9b00	1.0	Tighten Index Space	4					10577
7	11	30061.3	30109.956	30110.798	#ff9b00	1.0	Tighten Index Space	4					117
7	11	29593.399	30121.725	30127.364	#d0ff00	1.0	Prepipeline Stage	6					118
7	10	30139.439	30139.439	30702.923	#cdff00	1.0	Task Physical Dependence Analysis	5					10578
7	10	30702.923	30702.923	30718.492	#cdff00	0.15	Task Physical Dependence Analysis (waiting)	5					10578
7	10	30718.492	30718.492	30728.509	#cdff00	0.45	Task Physical Dependence Analysis (ready)	5					10578
7	10	30728.509	30728.509	30879.249	#cdff00	1.0	Task Physical Dependence Analysis	5					10578
7	10	30879.249	30879.249	30881.286	#cdff00	0.15	Task Physical Dependence Analysis (waiting)	5					10578
7	10	30881.286	30881.286	30883.711	#cdff00	0.45	Task Physical Dependence Analysis (ready)	5					10578
7	10	30883.711	30883.711	31261.44	#cdff00	1.0	Task Physical Dependence Analysis	5					10578
6	11	30281.994	30281.994	30900.569	#bb00ff	1.0	Mapper Call map_task for 5	5					8785
7	11	31211.087	31271.299	31278.83	#333399	1.0	Deferred Ready Trigger	6					9069
7	10	31278.463	31292.667	31529.435	#00ff63	1.0	Operation Physical Dependence Analysis	6					9070
7	11	31523.161	31544.335	31550.246	#333399	1.0	Deferred Ready Trigger	7					9071
7	10	31549.941	31560.434	31615.98	#00ff63	1.0	Operation Physical Dependence Analysis	7					9072
