level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3			45385.407	45391.542	#d600ff	1.0	Equal Partition	3					7224
3			45908.354	45908.88	#d600ff	1.0	Equal Partition	4					1162
3			278644.148	352423.43	#00ff69	1.0	Partition by Image	6					5118
2			278651.124	353270.624	#00ff69	1.0	Partition by Image	7					1163
3			354265.541	354761.048	#00ff03	1.0	Intersection Reduction	1					9976
3			355975.919	356446.349	#00ff03	1.0	Intersection Reduction	1					7225
3			356553.553	356624.21	#d600ff	1.0	Equal Partition	11					1164
3			357523.812	357524.847	#00ff69	1.0	Difference	12					1165
3			357639.446	382826.849	#00ff69	1.0	Partition by Preimage	12					11062
3			387560.516	387613.997	#d600ff	1.0	Equal Partition	14					9977
3			388310.84	388311.768	#00ff69	1.0	Difference	15					1166
3			388353.285	388353.712	#00ff69	1.0	Intersection Reduction	15					1167
3			388464.968	447020.49	#00ff69	1.0	Partition by Preimage	15					5121
2			388878.724	389313.356	#ff0071	1.0	Difference	20					1169
1			388959.208	388959.539	#ff0071	1.0	Intersection Reduction	20					7226
1			389011.694	389012.076	#ff0071	1.0	Difference	20					1168
2			389335.901	389751.99	#ff0071	1.0	Difference	20					7227
1			389346.662	389347.012	#ff0071	1.0	Intersection Reduction	20					1170
1			389364.787	389364.968	#ff0071	1.0	Intersection Reduction	20					1171
1			389380.002	389380.574	#ff0071	1.0	Intersection Reduction	20					1172
1			389392.982	389395.79	#ff0071	1.0	Intersection Reduction	20					1173
2			389816.943	389817.75	#ff0071	1.0	Difference	20					1174
2			389834.557	389834.845	#ff0071	1.0	Difference	20					1175
2			389850.553	389850.755	#ff0071	1.0	Difference	20					1176
2			389946.478	390077.868	#ff0071	1.0	Intersection Reduction	20					1179
1			390016.523	390016.814	#ff0071	1.0	Intersection Reduction	21					1177
1			390049.749	390049.923	#ff0071	1.0	Intersection Reduction	21					1178
2			390081.374	390081.806	#ff0071	1.0	Difference	21					7228
2			390124.217	390124.471	#ff0071	1.0	Intersection Reduction	21					1180
2			390250.169	390250.481	#ff0071	1.0	Intersection Reduction	21					1181
2			390265.265	390265.922	#ff0071	1.0	Intersection Reduction	21					1182
2			390278.778	390281.536	#ff0071	1.0	Intersection Reduction	21					1183
2			390539.292	390539.747	#ff0071	1.0	Difference	21					7229
2			390554.787	390555.024	#ff0071	1.0	Difference	21					7230
2			390612.749	390740.338	#ff0071	1.0	Intersection Reduction	21					11063
1			390670.859	390671.15	#ff0071	1.0	Intersection Reduction	22					7231
1			390704.399	390704.589	#ff0071	1.0	Intersection Reduction	22					7232
1			390714.598	390714.736	#ff0071	1.0	Intersection Reduction	22					7233
1			390734.894	390735.191	#ff0071	1.0	Difference	22					7234
2			390781.183	390781.426	#ff0071	1.0	Intersection Reduction	22					7235
2			390828.6	390828.771	#ff0071	1.0	Intersection Reduction	22					7236
2			390838.977	390839.54	#ff0071	1.0	Intersection Reduction	22					7237
2			390852.96	390853.27	#ff0071	1.0	Intersection Reduction	22					7238
2			390953.553	391250.561	#ff0071	1.0	Intersection Reduction	21					7245
1			391033.894	391034.305	#ff0071	1.0	Difference	22					7239
1			391048.212	391048.401	#ff0071	1.0	Difference	22					7240
1			391174.136	391174.405	#ff0071	1.0	Intersection Reduction	23					7241
1			391204.94	391205.145	#ff0071	1.0	Intersection Reduction	23					7242
1			391215.714	391216.217	#ff0071	1.0	Intersection Reduction	23					7243
1			391228.565	391231.635	#ff0071	1.0	Intersection Reduction	23					7244
2			391267.374	391268.039	#ff0071	1.0	Intersection Reduction	23					7246
1			391268.055	391421.481	#ff0071	1.0	Intersection Reduction	22					9978
2			391323.03	391323.212	#ff0071	1.0	Intersection Reduction	23					7247
2			391332.79	391333.182	#ff0071	1.0	Intersection Reduction	23					7248
2			391350.866	391351.214	#ff0071	1.0	Intersection Reduction	23					7249
2			391459.981	391460.231	#ff0071	1.0	Intersection Reduction	22					7250
2			391469.926	391472.053	#ff0071	1.0	Intersection Reduction	22					7251
2			391630.485	391630.995	#ff0071	1.0	Difference	23					11064
2			391640.424	391640.683	#ff0071	1.0	Difference	23					11065
2			391687.61	391828.986	#ff0071	1.0	Intersection Reduction	23					5119
2			391866.284	391866.587	#ff0071	1.0	Intersection Reduction	23					11066
2			391871.379	391871.581	#ff0071	1.0	Intersection Reduction	23					11067
2			391885.12	391992.988	#ff0071	1.0	Intersection Reduction	23					5120
3			451936.794	451937.351	#00ff69	1.0	Intersection Reduction	26					9979
3			451951.744	451951.949	#00ff69	1.0	Intersection Reduction	26					9980
3			451960.816	451961.074	#00ff69	1.0	Intersection Reduction	26					1184
3			452013.827	452047.58	#d600ff	1.0	Equal Partition	25					1185
3			452496.114	452497.083	#00ff69	1.0	Difference	26					1186
3			452570.257	482846.455	#00ff69	1.0	Partition by Preimage	26					9983
2			452896.471	453309.971	#ff0071	1.0	Difference	32					5122
2			453427.5	453903.102	#ff0071	1.0	Difference	32					5123
2			454012.402	454142.73	#ff0071	1.0	Intersection Reduction	32					5124
2			454201.735	454318.939	#ff0071	1.0	Intersection Reduction	32					5125
