level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3			510872.921	510957.756	#ff00e3	1.0	Fill	35					1027
3			511190.435	511275.514	#ff00e3	1.0	Fill	39					1028
3			511384.136	511465.467	#ff00e3	1.0	Fill	40					1029
3			511568.172	511646.482	#ff00e3	1.0	Fill	41					1386
3			609172.322	609247.356	#ff00e3	1.0	Fill	54					1030
3			609401.819	609470.479	#ff00e3	1.0	Fill	58					1653
3			609558.693	609636.001	#ff00e3	1.0	Fill	59					1654
3			609710.369	609785.928	#ff00e3	1.0	Fill	60					1387
