level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
1	2	27141.568	27141.568	27181.528	#FFC0CB	1.0	ProfTask <4>						1548
1	2	28623.911	28631.958	30940.67	#ff000e	1.0	initialize_graph [primary] <4>		[[0, 0, 38], [0, 1, 1424], [0, 1, 1423], [0, 1, 1422], [0, 1, 1421]]	[[0, 0, 1293], [0, 0, 1294], [0, 0, 1433], [0, 0, 1203]]		[[0, 3, 18]]	1420
1	2	30963.893	30963.893	30968.935	#FFC0CB	1.0	ProfTask <4>						1550
1	2	32192.572	32192.572	32193.474	#FFC0CB	1.0	ProfTask <6>						1552
1	2	32882.348	32882.348	32883.343	#FFC0CB	1.0	ProfTask <11>						1554
1	2	33936.89	33936.89	33937.361	#FFC0CB	1.0	ProfTask <13>						1556
1	2	34001.965	34001.965	34002.249	#FFC0CB	1.0	ProfTask <20>						1558
1	2	34026.513	34026.513	34026.853	#FFC0CB	1.0	ProfTask <14>						1560
1	2	34043.816	34043.816	34052.82	#FFC0CB	1.0	ProfTask <20>						1562
1	2	34082.845	34082.845	34083.062	#FFC0CB	1.0	ProfTask <20>						1564
1	2	34125.026	34125.026	34125.474	#FFC0CB	1.0	ProfTask <21>						1566
1	2	34134.399	34134.399	34134.734	#FFC0CB	1.0	ProfTask <20>						1568
1	2	34173.246	34173.246	34173.446	#FFC0CB	1.0	ProfTask <20>						1570
1	2	34192.393	34192.393	34193.166	#FFC0CB	1.0	ProfTask <20>						1572
1	2	34215.999	34215.999	34216.55	#FFC0CB	1.0	ProfTask <20>						1574
1	2	34227.017	34227.017	34227.315	#FFC0CB	1.0	ProfTask <20>						1576
1	2	34237.415	34237.415	34237.816	#FFC0CB	1.0	ProfTask <20>						1578
1	2	34247.172	34247.172	34250.819	#FFC0CB	1.0	ProfTask <20>						1580
1	2	34257.104	34257.104	34257.418	#FFC0CB	1.0	ProfTask <20>						1582
1	2	34278.193	34278.193	34279.084	#FFC0CB	1.0	ProfTask <21>						1584
1	2	34289.422	34289.422	34289.73	#FFC0CB	1.0	ProfTask <21>						1586
1	2	34299.501	34299.501	34299.869	#FFC0CB	1.0	ProfTask <21>						1588
1	2	34309.305	34309.305	34309.635	#FFC0CB	1.0	ProfTask <20>						1590
1	2	34319.517	34319.517	34323.132	#FFC0CB	1.0	ProfTask <21>						1592
1	2	34326.439	34326.439	34326.705	#FFC0CB	1.0	ProfTask <20>						1594
1	2	34339.253	34339.253	34339.635	#FFC0CB	1.0	ProfTask <20>						1596
1	2	34349.604	34349.604	34349.873	#FFC0CB	1.0	ProfTask <20>						1598
1	2	34359.824	34359.824	34360.093	#FFC0CB	1.0	ProfTask <20>						1600
1	2	34370.166	34370.166	34370.479	#FFC0CB	1.0	ProfTask <21>						1602
1	2	34379.818	34379.818	34383.308	#FFC0CB	1.0	ProfTask <21>						1604
1	2	34386.484	34386.484	34386.746	#FFC0CB	1.0	ProfTask <21>						1606
