level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3			29565.202	2155761.103	#ff000e	1.0	Region: ispace:1[0:53636] x Page()[rank,prevrank$,numlinks,summation]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000000 $Size: 1.432 MiB	4					854
2			29765.802	2156068.045	#ff000e	1.0	Region: ispace:2[0:858991] x Link($wild)[srcptr.__ptr$,destptr.__ptr]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000001 $Size: 13.107 MiB	4					855
